,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,EBL,2023-04-06 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EBL,2023-04-06 00:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0075151077,0.0028942255,0.0038340797,0.008157173
2,EBL,2023-04-06 00:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011858499,0.009328435
3,EBL,2023-04-06 00:45:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034954033
4,EBL,2023-04-06 01:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006833598
5,EBL,2023-04-06 01:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057301186,0.0065930085,0.005357643
6,EBL,2023-04-06 01:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006850224,0.008319695
7,EBL,2023-04-06 01:45:00-04:00,0.005078514,0.0,0.0,0.0045458144,0.0022245033,0.005078514,0.0043311054,0.0054165497,0.009028277,0.0139770415
8,EBL,2023-04-06 02:00:00-04:00,0.00083936413,0.0,0.0,0.0,0.0,0.00083936413,0.0047634616,0.009526881,0.009182345,0.017838828
9,EBL,2023-04-06 02:15:00-04:00,0.005088217,0.0,0.0,0.002105286,0.0032378114,0.005088217,0.007542118,0.0031619717,0.01086314,0.018337028
10,EBL,2023-04-06 02:30:00-04:00,0.003237999,0.0,0.0,0.0,0.0044948994,0.003237999,0.0072351336,0.011142774,0.007977014,0.0124096405
11,EBL,2023-04-06 02:45:00-04:00,0.00014939893,0.0,0.0,0.0036019129,0.0018805418,0.00014939893,0.006932862,0.010124492,0.0060583325,0.01604268
12,EBL,2023-04-06 03:00:00-04:00,0.0,0.0,0.0,0.0,0.00182469,0.0,0.003256787,0.010089314,0.0047454173,0.023228765
13,EBL,2023-04-06 03:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00069976086,0.0022332515,0.0,0.026862223
14,EBL,2023-04-06 03:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016224119,0.010487034,0.02272501
15,EBL,2023-04-06 03:45:00-04:00,0.0,0.0,0.0,0.0,0.00088703976,0.0,0.0015769105,0.006461164,0.0063562375,0.02800208
