,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
0,EBL,2023-04-06 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024658553,0.012774642,0.010780092
1,EBL,2023-04-06 00:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0042559085,0.0058913035,0.0026541797,0.009271606
2,EBL,2023-04-06 00:30:00-04:00,0.0049741096,0.0,0.0,0.0,0.0,0.0049741096,0.006266301,0.0055730953,0.011516781,0.017316392
3,EBL,2023-04-06 00:45:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.004380435,0.009100854,0.0071144123,0.010255139
4,EBL,2023-04-06 01:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.005222218,0.005903353,0.010877261,0.012091947
5,EBL,2023-04-06 01:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0056291725,0.013007761,0.017766405,0.014620187
6,EBL,2023-04-06 01:30:00-04:00,0.0051188623,0.0,0.0,0.0,0.0,0.0051188623,0.006374993,0.0114503475,0.023384178,0.019784082
7,EBL,2023-04-06 01:45:00-04:00,0.0016578836,0.0,0.0,0.0,0.0,0.0016578836,0.0049041784,0.005726743,0.008359919,0.006982209
8,EBL,2023-04-06 02:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0043389183,0.007067253,0.0039763,0.015300274
9,EBL,2023-04-06 02:15:00-04:00,0.013377452,0.0,0.0,0.0011525969,0.0054670144,0.013377452,0.014182474,0.008627728,0.017971657,0.022548553
10,EBL,2023-04-06 02:30:00-04:00,0.005801908,0.0,0.0,0.0,0.0058747716,0.005801908,0.013089823,0.015004146,0.015603298,0.01850683
11,EBL,2023-04-06 02:45:00-04:00,0.0027396344,0.0,0.0,0.0023436644,0.00023107091,0.0027396344,0.006476548,0.01181299,0.008548826,0.021199446
12,EBL,2023-04-06 03:00:00-04:00,0.0015171925,0.0,0.0,0.0018319044,0.00626864,0.0015171925,0.008294025,0.013444673,0.006110209,0.024756432
13,EBL,2023-04-06 03:15:00-04:00,0.0,0.0,0.0,0.0,0.0006819186,0.0,0.008865052,0.0032032372,0.0,0.029328093
14,EBL,2023-04-06 03:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0031871884,0.0014110478,0.011369834,0.024088625
15,EBL,2023-04-06 03:45:00-04:00,0.0014994289,0.0,0.0,0.0,0.000988679,0.0014994289,0.00016184617,0.0046565803,0.002774417,0.03121782
16,EBL,2023-04-06 04:00:00-04:00,0.0032213617,0.0,0.0,0.0,0.005837106,0.0032213617,0.007825768,0.0045222198,0.011730094,0.044938598
17,EBL,2023-04-06 04:15:00-04:00,0.0028485395,0.0,0.0,0.0,0.0,0.0028485395,0.007095293,0.003942515,0.0137687875,0.042465806
18,EBL,2023-04-06 04:30:00-04:00,0.0043642013,0.0,0.0,0.0,0.0,0.0043642013,0.011054326,0.011273067,0.008409262,0.060490284
19,EBL,2023-04-06 04:45:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0049216147,0.007689127,0.0052081654,0.08665029
20,EBL,2023-04-06 05:00:00-04:00,0.0030490998,0.0,0.0,0.0,0.0,0.0030490998,0.0029857107,0.00325499,0.011401467,0.091014355
21,EBL,2023-04-06 05:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00928459,0.008414224,0.0,0.10051707
22,EBL,2023-04-06 05:30:00-04:00,0.0056681903,0.0,0.0,0.0,0.0041825147,0.0056681903,0.006462183,0.0064712106,0.0058735167,0.13090935
23,EBL,2023-04-06 05:45:00-04:00,0.003068274,0.0,0.0,0.000119850854,0.0,0.003068274,0.008794612,0.008340064,0.004826214,0.1290201
24,EBL,2023-04-06 06:00:00-04:00,0.006540876,0.0,0.0,0.0,0.0,0.006540876,0.0058103562,0.006962251,0.0064738877,0.17325594
25,EBL,2023-04-06 06:15:00-04:00,0.0019249128,0.0,0.0,0.0,0.0,0.0019249128,0.0039355853,0.0030980476,0.0,0.20376682
26,EBL,2023-04-06 06:30:00-04:00,0.0025437346,0.0,0.0,0.0,0.0,0.0025437346,0.004890045,0.0073648533,0.0040110745,0.23420633
27,EBL,2023-04-06 06:45:00-04:00,0.004516744,0.0,0.0,0.0,0.0,0.004516744,0.0074677314,0.006268963,0.0058785914,0.26140875
28,EBL,2023-04-06 07:00:00-04:00,0.006014059,0.0,0.0,0.0,0.0033281907,0.006014059,0.0023525457,0.009602857,0.011295154,0.2807483
29,EBL,2023-04-06 07:15:00-04:00,0.0062543657,0.0,0.0,0.0,0.0016210878,0.0062543657,0.0062419125,0.015897414,0.002918452,0.29834253
